nCH	Ch1	Ch2	Ch3	Ch4	Ch5	Ch6
*12	1951604844	1869177973	1162751520	808591444	1130115888	1869442415
*04	00100	00100	00100	00100	01000	01000
*04	00200	00200	00200	00200	01000	01000
*04	00300	00300	00300	00300	01000	01000
*04	00303	00400	00400	00400	01000	01000
*04	00305	00500	00500	00500	01000	01000
*04	00306	00600	00600	00600	01000	01000
*04	00306	00627	00648	00607	01000	01000
*04	00306	00641	00672	00610	01000	01000
*04	00306	00648	00684	00612	01000	01000
*04	00306	00651	00690	00613	01000	01000
*04	00306	00653	00693	00613	01000	01000
*04	00306	00654	00694	00613	01000	01000
*04	00306	00654	00695	00613	01000	01000
*10	00306	00654	00795	00644	00100	00000
*02	00406	00654	01000	01000	01000	01000
*02	00306	00654	01000	01000	01000	01000
*01	00406	01000	01000	01000	01000	01000
*04	00506	00554	00695	00544	01000	01000
*05	00606	00654	00664	00444	00200	01000
*02	00630	00664	01000	01000	01000	01000
*04	00730	00649	00680	00544	01000	01000
*04	00830	00641	00688	00579	01000	01000
*04	00930	00637	00692	00596	01000	01000
*04	00966	00635	00694	00605	01000	01000
*04	00984	00634	00695	00609	01000	01000
*04	00993	00634	00695	00611	01000	01000
*04	00998	00634	00695	00612	01000	01000
*04	01000	00634	00695	00613	01000	01000
*04	01001	00634	00695	00613	01000	01000
*04	01002	00634	00695	00613	01000	01000
