nCH	Ch1	Ch2	Ch3	Ch4	Ch5	Ch6		Pulse	Threshold
 [12]	1951604844	1869177973	1162751520	808591444	1130115888	1869442415		00000	-0001
 [12]	1951604844	1869177973	1162751520	808591444	1130115888	1869442415		00012	-0001
 [12]	1951604844	1869177973	1162751520	808591444	1130115888	1869442415		00000	-0001
 [12]	1951604844	1869177973	1162751520	808591444	1130115888	1869442415		00001	-0001
 [12]	1951604844	1869177973	1162751520	808591444	1130115888	1869442415		00000	-0001
 [12]	1951604844	1869177973	1162751520	808591444	1130115888	1869442415		00001	-0001
 [12]	1951604844	1869177973	1162751520	808591444	1130115888	1869442415		00000	-0001
 [12]	1951604844	1869177973	1162751520	808591444	1130115888	1869442415		00001	-0001
 [12]	1951604844	1869177973	1162751520	808591444	1130115888	1869442415		00000	00000
 [12]	1951604844	1869177973	1162751520	808591444	1130115888	1869442415		00000	00000
 [12]	1951604844	1869177973	1162751520	808591444	1130115888	1869442415		00000	-0001
 [12]	1951604844	1869177973	1162751520	808591444	1130115888	1869442415		00001	-0001
 [12]	1951604844	1869177973	1162751520	808591444	1130115888	1869442415		00000	00000
 [12]	1951604844	1869177973	1162751520	808591444	1130115888	1869442415		00000	00000
 [12]	1951604844	1869177973	1162751520	808591444	1130115888	1869442415		00000	-0002
 [12]	1951604844	1869177973	1162751520	808591444	1130115888	1869442415		00001	-0003
 [12]	1951604844	1869177973	1162751520	808591444	1130115888	1869442415		00000	00000
 [12]	1951604844	1869177973	1162751520	808591444	1130115888	1869442415		00000	00000
 [12]	1951604844	1869177973	1162751520	808591444	1130115888	1869442415		00000	-0006
 [00]	01000	01000	01000	01000	01000	01000		00599	00200
 [00]	01000	01000	01000	01000	01000	01000		00000	00251
 [00]	01000	01000	01000	01000	01000	01000		00000	00272
 [00]	01000	01000	01000	01000	01000	01000		-0017	-2967
 [00]	01000	01000	01000	01000	01000	01000		00065	-2767
 [00]	01000	01000	01000	01000	01000	01000		-0016	-3440
 [00]	01000	01000	01000	01000	01000	01000		00048	-2646
 [00]	01000	01000	01000	01000	01000	01000		-0017	-2850
 [00]	01000	01000	01000	01000	01000	01000		00046	-2537
 [00]	01000	01000	01000	01000	01000	01000		-0016	-3252
 [00]	01000	01000	01000	01000	01000	01000		00050	-2651
 [00]	01000	01000	01000	01000	01000	01000		-0016	-3162
 [04]	00100	00100	00100	00100	01000	01000		00666	-2919
 [04]	00100	00100	00100	00100	01000	01000		-0016	-3509
 [04]	00100	00100	00100	00100	01000	01000		00066	-3233
 [04]	00100	00100	00100	00100	01000	01000		-0016	-3292
 [04]	00100	00100	00100	00100	01000	01000		00048	-2809
 [04]	00100	00100	00100	00100	01000	01000		-0016	-3301
 [04]	00100	00100	00100	00100	01000	01000		00047	-3002
 [04]	00100	00100	00100	00100	01000	01000		-0016	-3101
 [04]	00100	00100	00100	00100	01000	01000		00050	-2849
 [04]	00100	00100	00100	00100	01000	01000		-0016	-3016
 [04]	00200	00200	00200	00200	01000	01000		00666	-3030
 [04]	00200	00200	00200	00200	01000	01000		-0016	-3400
 [04]	00200	00200	00200	00200	01000	01000		00065	-2714
 [04]	00200	00200	00200	00200	01000	01000		-0017	-2879
 [04]	00200	00200	00200	00200	01000	01000		00048	-2919
 [04]	00200	00200	00200	00200	01000	01000		-0016	-3199
 [04]	00200	00200	00200	00200	01000	01000		00046	-2489
 [04]	00200	00200	00200	00200	01000	01000		-0017	-2696
 [04]	00200	00200	00200	00200	01000	01000		00049	-2306
 [04]	00200	00200	00200	00200	01000	01000		-0017	-2602
 [04]	00300	00300	00300	00300	01000	01000		00666	-2573
 [04]	00300	00300	00300	00300	01000	01000		-0016	-3563
 [04]	00300	00300	00300	00300	01000	01000		00066	-3129
 [04]	00300	00300	00300	00300	01000	01000		-0016	-3360
 [04]	00300	00300	00300	00300	01000	01000		00048	-2733
 [04]	00300	00300	00300	00300	01000	01000		-0016	-3364
 [04]	00300	00300	00300	00300	01000	01000		00047	-2908
 [04]	00300	00300	00300	00300	01000	01000		-0016	-3170
 [04]	00300	00300	00300	00300	01000	01000		00050	-2762
 [04]	00300	00300	00300	00300	01000	01000		-0016	-3075
 [04]	00303	00400	00400	00400	01000	01000		00666	-2948
 [04]	00303	00400	00400	00400	01000	01000		-0016	-3454
